feature,weight
year,0.013281
month,0.011313
day,0.00543
dayofweek,0.073433
dayofyear,0.037651
weekofyear,-0.003446
quarter,-0.114782
is_weekend,0.005859
is_month_start,-0.045379
is_month_end,0.000789
month_sin,-0.015903
month_cos,-0.162038
dow_sin,0.106498
dow_cos,0.148993
is_holiday,0.026664
is_rainy_season,0.119736
is_cool_season,0.164713
lag_1,0.639035
lag_2,0.124006
lag_3,-0.113119
lag_7,0.613526
lag_14,0.482688
lag_28,0.461124
roll_mean_7,1.677279
roll_std_7,-0.44304
roll_min_7,-0.312458
roll_max_7,0.014857
roll_mean_14,2.288191
roll_std_14,-0.386555
roll_min_14,-0.210284
roll_max_14,0.182551
roll_mean_30,1.644128
roll_std_30,0.441822
roll_min_30,-0.071367
roll_max_30,-0.42669
trend_7_30,0.298436
cv_30,0.036488
mom_1_7,-0.00458
wow_diff,0.050589
accel,0.14046
market_lag1,-0.12385
drug_share_lag1,-0.300922
drug_M01AB,-0.055183
drug_M01AE,-0.131822
drug_N02BA,-0.156079
drug_N02BE,0.909667
drug_N05B,0.090267
drug_N05C,-0.325633
drug_R03,-0.081567
drug_R06,-0.185111
__bias__,5.236535
